order,original_clip_idx,filename,class_label,class_name,demand_env,snr_db,beep_start_s,clip_start_s,clip_end_s,ravdess_files
73,159,distress_SPSQUARE_009.wav,2,distress,SPSQUARE,11.6,3528.0,3532.0,3577.0,03-01-05-01-01-01-24.wav|03-01-06-01-01-01-20.wav|03-01-05-01-01-01-19.wav|03-01-06-02-01-01-01.wav|03-01-05-02-02-02-02.wav|03-01-06-02-01-02-21.wav|03-01-05-02-02-02-19.wav|03-01-05-01-01-01-21.wav|03-01-05-02-01-01-19.wav|03-01-05-02-01-01-20.wav
74,39,background_SPSQUARE_009.wav,0,background,SPSQUARE,N/A,3577.0,3581.0,3626.0,N/A
75,164,distress_OHALLWAY_004.wav,2,distress,OHALLWAY,12.3,3626.0,3630.0,3675.0,03-01-06-02-02-01-13.wav|03-01-05-02-02-02-02.wav|03-01-06-01-02-01-02.wav|03-01-06-02-02-02-18.wav|03-01-06-01-01-02-12.wav|03-01-05-01-02-02-10.wav|03-01-05-02-01-02-13.wav|03-01-05-02-02-01-15.wav|03-01-06-01-01-02-18.wav|03-01-06-02-01-02-20.wav|03-01-06-02-01-01-20.wav
76,42,background_OHALLWAY_002.wav,0,background,OHALLWAY,N/A,3675.0,3679.0,3724.0,N/A
77,148,distress_PRESTO_008.wav,2,distress,PRESTO,12.8,3724.0,3728.0,3773.0,03-01-06-01-02-01-15.wav|03-01-05-02-02-02-10.wav|03-01-05-02-02-01-02.wav|03-01-05-02-02-01-07.wav|03-01-05-01-02-02-02.wav|03-01-06-02-02-02-10.wav|03-01-06-01-02-02-13.wav|03-01-05-02-02-01-18.wav|03-01-05-01-01-02-09.wav|03-01-06-02-01-01-21.wav|03-01-05-01-02-01-10.wav
78,41,background_OHALLWAY_001.wav,0,background,OHALLWAY,N/A,3773.0,3777.0,3822.0,N/A
79,160,distress_SPSQUARE_010.wav,2,distress,SPSQUARE,10.0,3822.0,3826.0,3871.0,03-01-05-02-01-01-21.wav|03-01-05-02-01-02-10.wav|03-01-06-02-01-01-10.wav|03-01-06-02-01-02-08.wav|03-01-06-02-02-02-22.wav|03-01-06-01-01-02-10.wav|03-01-05-02-02-02-03.wav|03-01-06-02-01-02-02.wav|03-01-05-01-01-02-15.wav|03-01-05-02-02-01-16.wav|03-01-06-01-01-01-07.wav
80,94,calm_speech_SPSQUARE_004.wav,1,calm_speech,SPSQUARE,6.9,3871.0,3875.0,3920.0,03-01-01-01-02-02-11.wav|03-01-02-01-01-01-18.wav|03-01-02-02-01-01-24.wav|03-01-01-01-02-02-11.wav|03-01-02-01-01-01-21.wav|03-01-01-01-01-02-21.wav|03-01-02-02-01-01-01.wav|03-01-02-01-02-01-13.wav|03-01-01-01-02-02-18.wav|03-01-02-01-01-01-11.wav|03-01-02-02-01-01-16.wav
81,38,background_SPSQUARE_008.wav,0,background,SPSQUARE,N/A,3920.0,3924.0,3969.0,N/A
82,65,calm_speech_DKITCHEN_005.wav,1,calm_speech,DKITCHEN,10.3,3969.0,3973.0,4018.0,03-01-02-01-02-02-24.wav|03-01-02-01-01-02-01.wav|03-01-02-02-02-01-05.wav|03-01-02-02-02-02-23.wav|03-01-02-01-01-01-12.wav|03-01-02-01-02-01-15.wav|03-01-02-01-02-01-13.wav|03-01-02-01-02-02-07.wav|03-01-01-01-01-01-01.wav|03-01-01-01-02-01-12.wav|03-01-02-01-01-01-22.wav
83,152,distress_SPSQUARE_002.wav,2,distress,SPSQUARE,9.4,4018.0,4022.0,4067.0,03-01-05-01-01-01-05.wav|03-01-06-01-01-01-08.wav|03-01-05-02-02-01-21.wav|03-01-06-01-01-02-12.wav|03-01-05-01-02-01-19.wav|03-01-06-01-01-01-20.wav|03-01-06-02-01-01-22.wav|03-01-06-02-01-02-12.wav|03-01-05-01-02-02-15.wav|03-01-05-02-02-01-03.wav|03-01-05-02-02-01-05.wav
84,8,background_DKITCHEN_008.wav,0,background,DKITCHEN,N/A,4067.0,4071.0,4116.0,N/A
85,28,background_PRESTO_008.wav,0,background,PRESTO,N/A,4116.0,4120.0,4165.0,N/A
86,125,distress_DKITCHEN_005.wav,2,distress,DKITCHEN,13.2,4165.0,4169.0,4214.0,03-01-06-02-02-02-20.wav|03-01-06-02-02-02-21.wav|03-01-06-02-01-02-01.wav|03-01-05-01-01-01-22.wav|03-01-05-02-01-01-23.wav|03-01-06-02-01-01-01.wav|03-01-06-01-02-02-09.wav|03-01-06-02-02-02-10.wav|03-01-06-02-01-02-11.wav|03-01-05-02-01-01-01.wav|03-01-06-01-02-01-05.wav
87,120,calm_speech_NPARK_010.wav,1,calm_speech,NPARK,6.1,4214.0,4218.0,4263.0,03-01-02-01-01-02-22.wav|03-01-02-02-02-02-02.wav|03-01-01-01-02-01-23.wav|03-01-02-02-02-01-20.wav|03-01-02-01-01-01-02.wav|03-01-02-01-02-01-21.wav|03-01-01-01-01-02-18.wav|03-01-02-01-02-02-05.wav|03-01-02-01-02-01-19.wav|03-01-02-01-02-02-04.wav|03-01-02-01-01-01-07.wav
88,57,background_NPARK_007.wav,0,background,NPARK,N/A,4263.0,4267.0,4312.0,N/A
89,52,background_NPARK_002.wav,0,background,NPARK,N/A,4312.0,4316.0,4361.0,N/A
90,130,distress_DKITCHEN_010.wav,2,distress,DKITCHEN,10.7,4361.0,4365.0,4410.0,03-01-06-02-01-02-23.wav|03-01-05-02-02-01-14.wav|03-01-06-01-02-01-04.wav|03-01-06-01-01-02-01.wav|03-01-05-02-01-02-11.wav|03-01-05-02-01-01-20.wav|03-01-05-01-02-01-23.wav|03-01-06-01-01-02-12.wav|03-01-06-02-02-02-14.wav|03-01-05-02-02-01-04.wav|03-01-06-02-02-02-14.wav
91,128,distress_DKITCHEN_008.wav,2,distress,DKITCHEN,9.9,4410.0,4414.0,4459.0,03-01-05-02-01-02-22.wav|03-01-05-02-02-02-02.wav|03-01-06-01-02-01-13.wav|03-01-06-02-01-01-02.wav|03-01-06-01-01-01-07.wav|03-01-06-02-01-02-07.wav|03-01-05-02-02-01-05.wav|03-01-05-01-02-01-09.wav|03-01-05-02-02-01-11.wav|03-01-05-02-01-01-01.wav|03-01-06-02-02-02-24.wav
92,7,background_DKITCHEN_007.wav,0,background,DKITCHEN,N/A,4459.0,4463.0,4508.0,N/A
93,91,calm_speech_SPSQUARE_001.wav,1,calm_speech,SPSQUARE,10.8,4508.0,4512.0,4557.0,03-01-01-01-01-01-17.wav|03-01-02-01-01-01-09.wav|03-01-02-01-01-01-11.wav|03-01-02-02-02-01-13.wav|03-01-01-01-01-02-06.wav|03-01-02-02-02-01-02.wav|03-01-02-02-01-02-23.wav|03-01-02-02-01-02-16.wav|03-01-02-01-02-02-22.wav|03-01-02-01-02-01-15.wav|03-01-02-02-02-02-18.wav
94,127,distress_DKITCHEN_007.wav,2,distress,DKITCHEN,6.6,4557.0,4561.0,4606.0,03-01-05-02-01-01-20.wav|03-01-06-01-02-01-22.wav|03-01-06-01-02-02-09.wav|03-01-05-01-02-01-22.wav|03-01-06-01-01-01-16.wav|03-01-05-01-02-01-15.wav|03-01-06-01-02-02-09.wav|03-01-05-02-02-01-17.wav|03-01-05-01-01-01-12.wav|03-01-06-01-01-01-04.wav|03-01-06-02-01-01-22.wav
95,111,calm_speech_NPARK_001.wav,1,calm_speech,NPARK,14.0,4606.0,4610.0,4655.0,03-01-01-01-02-01-20.wav|03-01-01-01-02-01-13.wav|03-01-01-01-02-02-24.wav|03-01-01-01-01-02-04.wav|03-01-02-02-01-01-15.wav|03-01-02-02-01-02-13.wav|03-01-02-02-01-01-19.wav|03-01-02-02-01-01-11.wav|03-01-02-02-02-01-13.wav|03-01-02-01-01-01-17.wav|03-01-02-02-01-01-21.wav
96,173,distress_NPARK_003.wav,2,distress,NPARK,6.0,4655.0,4659.0,4704.0,03-01-06-01-01-02-11.wav|03-01-05-01-01-02-16.wav|03-01-06-02-01-02-22.wav|03-01-05-02-02-01-05.wav|03-01-06-01-01-02-18.wav|03-01-05-01-02-01-06.wav|03-01-05-01-01-02-21.wav|03-01-05-01-02-02-16.wav|03-01-05-01-01-01-21.wav|03-01-05-01-02-02-10.wav|03-01-05-01-02-01-10.wav
97,157,distress_SPSQUARE_007.wav,2,distress,SPSQUARE,9.5,4704.0,4708.0,4753.0,03-01-06-02-01-02-22.wav|03-01-05-01-01-01-12.wav|03-01-06-01-02-01-18.wav|03-01-06-02-01-01-19.wav|03-01-05-01-02-01-05.wav|03-01-05-01-01-01-17.wav|03-01-06-02-01-01-02.wav|03-01-06-02-02-02-04.wav|03-01-06-02-02-02-05.wav|03-01-05-02-01-01-06.wav|03-01-05-02-02-02-11.wav
98,129,distress_DKITCHEN_009.wav,2,distress,DKITCHEN,6.3,4753.0,4757.0,4802.0,03-01-05-01-02-01-18.wav|03-01-05-02-02-01-08.wav|03-01-06-02-02-01-18.wav|03-01-05-02-02-02-22.wav|03-01-05-02-01-02-12.wav|03-01-06-01-02-02-13.wav|03-01-06-01-02-02-24.wav|03-01-06-02-02-02-14.wav|03-01-06-01-02-02-15.wav|03-01-05-02-02-01-03.wav|03-01-05-01-01-01-11.wav
99,13,background_DLIVING_003.wav,0,background,DLIVING,N/A,4802.0,4806.0,4851.0,N/A
100,150,distress_PRESTO_010.wav,2,distress,PRESTO,5.8,4851.0,4855.0,4900.0,03-01-05-02-02-02-20.wav|03-01-06-02-01-02-06.wav|03-01-05-02-02-02-10.wav|03-01-05-02-01-01-04.wav|03-01-05-02-02-01-11.wav|03-01-06-01-01-01-10.wav|03-01-05-02-01-02-15.wav|03-01-06-01-01-02-23.wav|03-01-05-02-02-01-06.wav|03-01-05-01-02-02-15.wav|03-01-05-02-01-02-15.wav
101,27,background_PRESTO_007.wav,0,background,PRESTO,N/A,4900.0,4904.0,4949.0,N/A
102,136,distress_DLIVING_006.wav,2,distress,DLIVING,8.9,4949.0,4953.0,4998.0,03-01-06-02-01-02-11.wav|03-01-05-01-02-01-20.wav|03-01-05-02-02-02-21.wav|03-01-06-01-02-02-11.wav|03-01-06-01-01-01-11.wav|03-01-06-02-01-02-18.wav|03-01-05-02-01-02-13.wav|03-01-05-01-01-02-09.wav|03-01-05-01-01-01-22.wav|03-01-05-02-02-02-20.wav|03-01-06-01-02-02-05.wav
103,3,background_DKITCHEN_003.wav,0,background,DKITCHEN,N/A,4998.0,5002.0,5047.0,N/A
104,99,calm_speech_SPSQUARE_009.wav,1,calm_speech,SPSQUARE,7.6,5047.0,5051.0,5096.0,03-01-02-01-02-02-04.wav|03-01-01-01-02-01-11.wav|03-01-02-01-02-01-24.wav|03-01-02-01-02-02-07.wav|03-01-02-01-01-02-18.wav|03-01-01-01-01-01-21.wav|03-01-02-01-01-02-02.wav|03-01-01-01-02-01-13.wav|03-01-01-01-01-02-13.wav|03-01-02-02-01-01-20.wav|03-01-02-02-02-02-10.wav|03-01-01-01-02-02-12.wav
105,166,distress_OHALLWAY_006.wav,2,distress,OHALLWAY,6.4,5096.0,5100.0,5145.0,03-01-06-02-02-01-20.wav|03-01-05-01-02-02-06.wav|03-01-05-01-02-02-20.wav|03-01-06-01-02-01-10.wav|03-01-06-02-01-01-11.wav|03-01-05-02-01-01-17.wav|03-01-06-01-02-01-16.wav|03-01-05-01-01-01-19.wav|03-01-05-01-02-02-16.wav|03-01-06-01-01-01-01.wav|03-01-06-01-01-02-11.wav
106,54,background_NPARK_004.wav,0,background,NPARK,N/A,5145.0,5149.0,5194.0,N/A
107,85,calm_speech_PRESTO_005.wav,1,calm_speech,PRESTO,11.7,5194.0,5198.0,5243.0,03-01-02-02-02-01-24.wav|03-01-02-01-01-02-14.wav|03-01-02-01-01-02-19.wav|03-01-02-01-02-01-22.wav|03-01-02-01-01-01-24.wav|03-01-02-02-01-02-07.wav|03-01-02-01-01-01-21.wav|03-01-01-01-01-01-12.wav|03-01-02-01-02-02-11.wav|03-01-02-02-01-02-12.wav|03-01-01-01-02-01-23.wav
108,104,calm_speech_OHALLWAY_004.wav,1,calm_speech,OHALLWAY,11.2,5243.0,5247.0,5292.0,03-01-01-01-02-02-22.wav|03-01-02-01-01-02-19.wav|03-01-02-02-01-01-03.wav|03-01-02-01-01-01-12.wav|03-01-02-02-02-02-06.wav|03-01-01-01-02-01-13.wav|03-01-02-02-01-02-21.wav|03-01-01-01-01-02-02.wav|03-01-01-01-02-01-11.wav|03-01-02-02-01-02-07.wav|03-01-02-01-02-01-24.wav
109,5,background_DKITCHEN_005.wav,0,background,DKITCHEN,N/A,5292.0,5296.0,5341.0,N/A
110,169,distress_OHALLWAY_009.wav,2,distress,OHALLWAY,13.7,5341.0,5345.0,5390.0,03-01-06-01-01-01-24.wav|03-01-06-02-02-02-02.wav|03-01-05-02-02-01-05.wav|03-01-06-01-01-02-07.wav|03-01-05-02-01-02-11.wav|03-01-05-02-01-01-16.wav|03-01-05-01-01-02-13.wav|03-01-05-02-02-02-06.wav|03-01-05-01-02-01-18.wav|03-01-05-02-02-02-18.wav|03-01-06-01-02-02-22.wav
111,143,distress_PRESTO_003.wav,2,distress,PRESTO,9.1,5390.0,5394.0,5439.0,03-01-06-01-02-01-13.wav|03-01-06-02-02-01-12.wav|03-01-05-02-01-02-13.wav|03-01-06-02-02-01-12.wav|03-01-06-02-01-01-01.wav|03-01-05-01-02-01-04.wav|03-01-06-02-02-02-23.wav|03-01-06-01-02-02-11.wav|03-01-06-01-01-01-05.wav|03-01-05-02-01-01-02.wav|03-01-05-01-01-02-16.wav
112,180,distress_NPARK_010.wav,2,distress,NPARK,10.3,5439.0,5443.0,5488.0,03-01-06-01-01-02-12.wav|03-01-05-01-01-01-19.wav|03-01-06-02-02-02-02.wav|03-01-06-01-01-01-18.wav|03-01-05-01-02-01-17.wav|03-01-05-02-01-02-19.wav|03-01-06-01-02-02-05.wav|03-01-05-02-02-01-11.wav|03-01-06-01-02-01-17.wav|03-01-06-01-02-02-04.wav|03-01-06-01-02-02-07.wav
113,113,calm_speech_NPARK_003.wav,1,calm_speech,NPARK,12.2,5488.0,5492.0,5537.0,03-01-02-01-02-02-06.wav|03-01-01-01-01-02-05.wav|03-01-02-02-01-01-02.wav|03-01-01-01-02-02-19.wav|03-01-02-01-02-01-16.wav|03-01-02-02-02-02-06.wav|03-01-02-01-02-02-13.wav|03-01-02-02-01-01-18.wav|03-01-02-01-02-01-09.wav|03-01-01-01-01-01-24.wav|03-01-02-01-02-02-16.wav
114,25,background_PRESTO_005.wav,0,background,PRESTO,N/A,5537.0,5541.0,5586.0,N/A
115,36,background_SPSQUARE_006.wav,0,background,SPSQUARE,N/A,5586.0,5590.0,5635.0,N/A
116,20,background_DLIVING_010.wav,0,background,DLIVING,N/A,5635.0,5639.0,5684.0,N/A
117,45,background_OHALLWAY_005.wav,0,background,OHALLWAY,N/A,5684.0,5688.0,5733.0,N/A
118,59,background_NPARK_009.wav,0,background,NPARK,N/A,5733.0,5737.0,5782.0,N/A
119,32,background_SPSQUARE_002.wav,0,background,SPSQUARE,N/A,5782.0,5786.0,5831.0,N/A
120,30,background_PRESTO_010.wav,0,background,PRESTO,N/A,5831.0,5835.0,5880.0,N/A
121,106,calm_speech_OHALLWAY_006.wav,1,calm_speech,OHALLWAY,6.4,5880.0,5884.0,5929.0,03-01-02-02-02-02-03.wav|03-01-02-02-01-01-18.wav|03-01-02-01-02-02-22.wav|03-01-01-01-01-01-01.wav|03-01-02-02-01-01-13.wav|03-01-02-02-02-02-21.wav|03-01-01-01-02-01-07.wav|03-01-02-01-02-01-23.wav|03-01-02-02-01-01-15.wav|03-01-02-01-02-01-24.wav|03-01-01-01-02-01-24.wav
122,49,background_OHALLWAY_009.wav,0,background,OHALLWAY,N/A,5929.0,5933.0,5978.0,N/A
123,69,calm_speech_DKITCHEN_009.wav,1,calm_speech,DKITCHEN,13.6,5978.0,5982.0,6027.0,03-01-01-01-01-01-04.wav|03-01-01-01-01-01-11.wav|03-01-02-02-01-02-21.wav|03-01-01-01-01-01-24.wav|03-01-01-01-02-02-21.wav|03-01-01-01-02-02-21.wav|03-01-02-01-01-01-18.wav|03-01-01-01-01-01-05.wav|03-01-02-02-02-02-19.wav|03-01-02-01-02-02-19.wav|03-01-01-01-01-02-20.wav
124,55,background_NPARK_005.wav,0,background,NPARK,N/A,6027.0,6031.0,6076.0,N/A
125,70,calm_speech_DKITCHEN_010.wav,1,calm_speech,DKITCHEN,5.5,6076.0,6080.0,6125.0,03-01-01-01-02-01-05.wav|03-01-01-01-02-01-18.wav|03-01-02-01-01-02-15.wav|03-01-02-01-02-02-05.wav|03-01-01-01-02-01-09.wav|03-01-02-02-02-02-23.wav|03-01-02-02-02-01-06.wav|03-01-02-02-01-01-08.wav|03-01-02-01-01-02-20.wav|03-01-01-01-02-02-04.wav|03-01-02-01-01-02-24.wav
126,93,calm_speech_SPSQUARE_003.wav,1,calm_speech,SPSQUARE,5.9,6125.0,6129.0,6174.0,03-01-02-01-02-01-20.wav|03-01-01-01-01-01-20.wav|03-01-01-01-02-01-17.wav|03-01-01-01-01-02-02.wav|03-01-02-02-02-01-14.wav|03-01-02-02-02-01-21.wav|03-01-01-01-02-01-16.wav|03-01-01-01-01-01-12.wav|03-01-02-02-02-02-12.wav|03-01-02-02-01-02-12.wav|03-01-02-01-01-02-01.wav
127,87,calm_speech_PRESTO_007.wav,1,calm_speech,PRESTO,7.1,6174.0,6178.0,6223.0,03-01-02-02-02-02-18.wav|03-01-02-02-02-01-01.wav|03-01-01-01-02-01-17.wav|03-01-01-01-02-02-01.wav|03-01-01-01-01-01-16.wav|03-01-02-01-02-02-17.wav|03-01-02-02-02-01-18.wav|03-01-01-01-02-02-24.wav|03-01-02-01-01-01-10.wav|03-01-02-01-01-01-10.wav|03-01-01-01-01-01-19.wav
128,167,distress_OHALLWAY_007.wav,2,distress,OHALLWAY,14.8,6223.0,6227.0,6272.0,03-01-06-01-02-01-19.wav|03-01-05-01-02-02-24.wav|03-01-05-01-01-02-23.wav|03-01-06-02-01-02-01.wav|03-01-05-01-02-01-16.wav|03-01-05-01-02-01-21.wav|03-01-06-01-01-01-19.wav|03-01-05-02-01-01-08.wav|03-01-06-01-02-01-02.wav|03-01-05-02-02-02-16.wav|03-01-06-02-02-01-17.wav
129,77,calm_speech_DLIVING_007.wav,1,calm_speech,DLIVING,14.5,6272.0,6276.0,6321.0,03-01-01-01-02-01-07.wav|03-01-02-01-02-01-02.wav|03-01-02-02-01-02-16.wav|03-01-02-01-02-01-24.wav|03-01-02-02-02-02-19.wav|03-01-02-02-02-01-02.wav|03-01-02-01-02-01-16.wav|03-01-02-02-01-01-02.wav|03-01-01-01-02-02-16.wav|03-01-02-01-01-02-11.wav|03-01-01-01-02-02-05.wav
130,165,distress_OHALLWAY_005.wav,2,distress,OHALLWAY,14.8,6321.0,6325.0,6370.0,03-01-06-01-01-02-13.wav|03-01-06-02-01-02-11.wav|03-01-06-01-02-02-12.wav|03-01-06-01-02-01-05.wav|03-01-05-02-02-02-20.wav|03-01-06-02-01-02-13.wav|03-01-05-02-01-02-02.wav|03-01-05-02-01-01-02.wav|03-01-06-02-02-02-23.wav|03-01-05-01-02-01-16.wav|03-01-06-01-01-02-15.wav|03-01-06-01-01-02-20.wav
131,162,distress_OHALLWAY_002.wav,2,distress,OHALLWAY,14.5,6370.0,6374.0,6419.0,03-01-05-01-02-02-20.wav|03-01-06-02-02-02-08.wav|03-01-05-01-01-01-06.wav|03-01-05-02-02-01-11.wav|03-01-05-02-02-02-19.wav|03-01-05-01-01-01-11.wav|03-01-05-01-01-01-06.wav|03-01-05-02-02-02-17.wav|03-01-06-02-02-02-16.wav|03-01-06-02-02-01-10.wav|03-01-06-02-02-02-01.wav
132,58,background_NPARK_008.wav,0,background,NPARK,N/A,6419.0,6423.0,6468.0,N/A
133,33,background_SPSQUARE_003.wav,0,background,SPSQUARE,N/A,6468.0,6472.0,6517.0,N/A
134,101,calm_speech_OHALLWAY_001.wav,1,calm_speech,OHALLWAY,14.4,6517.0,6521.0,6566.0,03-01-02-01-01-01-22.wav|03-01-01-01-01-01-22.wav|03-01-02-01-02-02-04.wav|03-01-02-02-01-01-02.wav|03-01-01-01-01-02-19.wav|03-01-02-02-01-02-14.wav|03-01-02-02-01-01-11.wav|03-01-02-02-02-01-04.wav|03-01-02-02-02-01-01.wav|03-01-02-01-01-02-12.wav|03-01-02-02-01-01-02.wav
135,46,background_OHALLWAY_006.wav,0,background,OHALLWAY,N/A,6566.0,6570.0,6615.0,N/A
136,31,background_SPSQUARE_001.wav,0,background,SPSQUARE,N/A,6615.0,6619.0,6664.0,N/A
137,90,calm_speech_PRESTO_010.wav,1,calm_speech,PRESTO,5.2,6664.0,6668.0,6713.0,03-01-02-01-02-01-07.wav|03-01-02-01-01-02-06.wav|03-01-02-02-02-01-05.wav|03-01-01-01-02-02-10.wav|03-01-02-02-02-02-11.wav|03-01-02-02-01-01-16.wav|03-01-02-02-02-01-05.wav|03-01-02-02-02-01-07.wav|03-01-01-01-02-01-14.wav|03-01-01-01-01-01-02.wav
138,146,distress_PRESTO_006.wav,2,distress,PRESTO,11.6,6713.0,6717.0,6762.0,03-01-06-01-01-02-03.wav|03-01-05-02-02-02-12.wav|03-01-06-02-01-01-17.wav|03-01-05-01-02-02-17.wav|03-01-05-01-02-02-17.wav|03-01-06-01-01-02-01.wav|03-01-05-01-01-01-16.wav|03-01-06-01-01-02-21.wav|03-01-06-02-02-01-12.wav|03-01-06-02-02-02-24.wav|03-01-05-02-01-01-12.wav
139,21,background_PRESTO_001.wav,0,background,PRESTO,N/A,6762.0,6766.0,6811.0,N/A
140,141,distress_PRESTO_001.wav,2,distress,PRESTO,6.9,6811.0,6815.0,6860.0,03-01-06-02-01-01-22.wav|03-01-05-02-01-01-19.wav|03-01-06-02-01-01-15.wav|03-01-05-01-01-01-10.wav|03-01-05-01-02-02-13.wav|03-01-06-01-02-02-17.wav|03-01-05-01-01-02-06.wav|03-01-05-02-02-01-07.wav|03-01-06-01-01-01-20.wav|03-01-05-01-01-01-09.wav|03-01-06-02-01-02-21.wav
141,97,calm_speech_SPSQUARE_007.wav,1,calm_speech,SPSQUARE,12.5,6860.0,6864.0,6909.0,03-01-01-01-02-02-05.wav|03-01-02-01-02-01-01.wav|03-01-01-01-01-01-13.wav|03-01-02-01-02-01-21.wav|03-01-02-01-02-01-15.wav|03-01-02-02-01-01-03.wav|03-01-02-01-01-02-21.wav|03-01-01-01-02-02-03.wav|03-01-01-01-01-02-21.wav|03-01-01-01-02-01-03.wav|03-01-01-01-02-01-07.wav
142,177,distress_NPARK_007.wav,2,distress,NPARK,11.7,6909.0,6913.0,6958.0,03-01-06-02-02-01-06.wav|03-01-05-02-01-01-16.wav|03-01-06-02-02-02-08.wav|03-01-05-02-01-02-09.wav|03-01-06-01-01-01-08.wav|03-01-05-02-02-02-09.wav|03-01-06-01-01-01-11.wav|03-01-06-01-02-01-19.wav|03-01-05-02-01-02-19.wav|03-01-05-02-01-02-09.wav|03-01-05-02-02-02-12.wav
143,98,calm_speech_SPSQUARE_008.wav,1,calm_speech,SPSQUARE,14.5,6958.0,6962.0,7007.0,03-01-02-01-01-02-04.wav|03-01-01-01-01-01-06.wav|03-01-02-02-01-02-18.wav|03-01-02-01-02-02-10.wav|03-01-01-01-02-02-23.wav|03-01-02-01-02-01-20.wav|03-01-02-01-01-02-19.wav|03-01-02-02-02-01-19.wav|03-01-02-01-01-02-03.wav|03-01-01-01-02-01-05.wav|03-01-02-02-02-02-09.wav
144,96,calm_speech_SPSQUARE_006.wav,1,calm_speech,SPSQUARE,7.8,7007.0,7011.0,7056.0,03-01-02-01-01-01-23.wav|03-01-01-01-01-02-13.wav|03-01-01-01-02-02-09.wav|03-01-02-02-01-01-10.wav|03-01-02-01-02-01-08.wav|03-01-02-01-02-02-01.wav|03-01-02-02-02-01-23.wav|03-01-02-02-02-01-12.wav|03-01-01-01-02-01-03.wav|03-01-02-01-01-01-13.wav|03-01-02-01-01-02-06.wav
145,108,calm_speech_OHALLWAY_008.wav,1,calm_speech,OHALLWAY,13.7,7056.0,7060.0,7105.0,03-01-01-01-02-02-19.wav|03-01-02-01-01-02-23.wav|03-01-02-02-01-02-20.wav|03-01-01-01-01-02-07.wav|03-01-02-02-01-01-07.wav|03-01-01-01-01-01-21.wav|03-01-01-01-02-02-12.wav|03-01-02-02-02-02-17.wav|03-01-02-01-02-02-04.wav|03-01-01-01-01-01-15.wav|03-01-02-02-02-01-23.wav
146,35,background_SPSQUARE_005.wav,0,background,SPSQUARE,N/A,7105.0,7109.0,7154.0,N/A
147,47,background_OHALLWAY_007.wav,0,background,OHALLWAY,N/A,7154.0,7158.0,7203.0,N/A
148,105,calm_speech_OHALLWAY_005.wav,1,calm_speech,OHALLWAY,9.1,7203.0,7207.0,7252.0,03-01-02-01-02-02-10.wav|03-01-02-02-02-01-05.wav|03-01-01-01-01-01-06.wav|03-01-02-01-02-01-07.wav|03-01-02-01-01-01-13.wav|03-01-02-01-02-02-12.wav|03-01-02-02-01-01-21.wav|03-01-02-01-01-01-11.wav|03-01-02-01-02-01-24.wav|03-01-02-01-01-01-17.wav|03-01-02-02-01-01-22.wav
149,74,calm_speech_DLIVING_004.wav,1,calm_speech,DLIVING,11.7,7252.0,7256.0,7301.0,03-01-02-02-01-02-13.wav|03-01-02-01-01-01-14.wav|03-01-01-01-01-02-04.wav|03-01-02-02-02-01-20.wav|03-01-02-01-01-02-05.wav|03-01-02-01-02-01-23.wav|03-01-02-01-02-02-22.wav|03-01-02-02-02-02-06.wav|03-01-02-02-02-01-15.wav|03-01-02-02-02-02-03.wav|03-01-02-01-02-01-11.wav
150,9,background_DKITCHEN_009.wav,0,background,DKITCHEN,N/A,7301.0,7305.0,7350.0,N/A
151,121,distress_DKITCHEN_001.wav,2,distress,DKITCHEN,7.8,7350.0,7354.0,7399.0,03-01-06-01-01-01-21.wav|03-01-06-01-01-01-18.wav|03-01-05-02-01-02-11.wav|03-01-05-01-01-02-20.wav|03-01-05-02-02-02-10.wav|03-01-05-01-02-01-17.wav|03-01-06-02-01-01-14.wav|03-01-06-01-01-01-23.wav|03-01-05-01-02-01-21.wav|03-01-06-01-02-01-18.wav|03-01-06-02-02-01-07.wav
152,18,background_DLIVING_008.wav,0,background,DLIVING,N/A,7399.0,7403.0,7448.0,N/A
153,16,background_DLIVING_006.wav,0,background,DLIVING,N/A,7448.0,7452.0,7497.0,N/A
154,139,distress_DLIVING_009.wav,2,distress,DLIVING,13.4,7497.0,7501.0,7546.0,03-01-05-01-02-02-04.wav|03-01-05-02-01-01-18.wav|03-01-06-01-02-01-24.wav|03-01-06-02-01-01-17.wav|03-01-05-01-02-01-22.wav|03-01-05-02-01-01-20.wav|03-01-05-01-01-02-20.wav|03-01-06-02-02-02-05.wav|03-01-06-02-01-02-06.wav|03-01-05-01-02-02-23.wav|03-01-06-02-01-02-20.wav
155,17,background_DLIVING_007.wav,0,background,DLIVING,N/A,7546.0,7550.0,7595.0,N/A
156,89,calm_speech_PRESTO_009.wav,1,calm_speech,PRESTO,9.5,7595.0,7599.0,7644.0,03-01-02-01-01-01-15.wav|03-01-01-01-02-01-17.wav|03-01-02-02-02-02-18.wav|03-01-02-01-02-02-04.wav|03-01-02-02-01-02-01.wav|03-01-01-01-01-01-24.wav|03-01-02-02-02-02-15.wav|03-01-02-02-02-02-03.wav|03-01-02-02-01-01-02.wav|03-01-02-01-01-01-02.wav|03-01-02-01-02-02-11.wav
